MK_ID,Name_Hebrew,Faction,X_Account,Status
214,"אביגדור ליברמן","ישראל ביתנו","AvigdorLiberman","FOUND"
814,"אורי מקלב","יהדות התורה","","NOT_FOUND"
978,"אורית פרקש הכהן","כחול לבן - המחנה הממלכתי","FarkashOrit","FOUND"
208,"אחמד טיבי","חד"ש-תע"ל","Ahmad_tibi","FOUND"
938,"איימן עודה","חד"ש-תע"ל","AyOdeh","FOUND"
1032,"אימאן ח'טיב יאסין","רע"ם","khatib_eman","FOUND"
981,"איתן גינזבורג","כחול לבן - המחנה הממלכתי","EitanGinzburg","FOUND"
854,"אכרם חסון","הימין הממלכתי","AKRAMHASSON","FOUND"
982,"אלון שוסטר","כחול לבן - המחנה הממלכתי","alonschuster_mk","FOUND"
899,"אלעזר שטרן","יש עתיד","Elazar_stern","FOUND"
1068,"אפרת רייטן מרום","העבודה","Efratrayten1","FOUND"
872,"בועז טופורובסקי","יש עתיד","BToporovsky","FOUND"
988,"בני גנץ","כחול לבן - המחנה הממלכתי","gantzbe","FOUND"
1066,"גלעד קריב","העבודה","KarivGilad","FOUND"
1094,"דבי ביטון","יש עתיד","DebbieBiton","FOUND"
1093,"ואליד אלהואשלה","רע"ם","WAlhwashla","FOUND"
1026,"ווליד טאהא","רע"ם","Waleedt68","FOUND"
1049,"ולדימיר בליאק","יש עתיד","VladimirBeliak","FOUND"
768,"זאב אלקין","הימין הממלכתי","zeev_elkin","FOUND"
1000,"חילי טרופר","כחול לבן - המחנה הממלכתי","hilitrooper","FOUND"
837,"חמד עמאר","ישראל ביתנו","hamad_amar11","FOUND"
1076,"טטיאנה מזרסקי","יש עתיד","MazarskyTatiana","FOUND"
878,"יאיר לפיד","יש עתיד","yairlapid","FOUND"
1103,"יאסר חוג'יראת","רע"ם","YasserHujerat","FOUND"
994,"יבגני סובה","ישראל ביתנו","evgenysova","FOUND"
995,"יואב סגלוביץ","יש עתיד","YSegalovitz","FOUND"
956,"יוליה מלינובסקי","ישראל ביתנו","YuliaMalinovsky","FOUND"
1115,"יונתן מישרקי","התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ"ל","","NOT_FOUND"
998,"יוראי להב הרצנו","יש עתיד","YoraiLahav","FOUND"
970,"ינון אזולאי","התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ"ל","","NOT_FOUND"
1079,"יסמין פרידמן","יש עתיד","Yasminsfridman","FOUND"
1048,"יעל רון בן משה","כחול לבן - המחנה הממלכתי","yael_ron","FOUND"
1127,"ירון לוי","יש עתיד","Yaron_Levi_by","FOUND"
874,"מאיר כהן","יש עתיד","MKmeircohen","FOUND"
103,"מאיר פרוש","יהדות התורה","Porush","FOUND"
1091,"מטי צרפתי הרכבי","יש עתיד","MattiSarfatti","FOUND"
1003,"מיכאל מרדכי ביטון","כחול לבן - המחנה הממלכתי","MichaelBiton4","FOUND"
1004,"מיכל שיר סגמן","יש עתיד","MichalShir","FOUND"
876,"מיקי לוי","יש עתיד","MKMickeyLevy","FOUND"
915,"מירב בן ארי","יש עתיד","Meravbenari","FOUND"
1006,"מירב כהן","יש עתיד","cohen_meirav","FOUND"
1088,"מישל בוסקילה","הימין הממלכתי","BuskilaMishel","FOUND"
1007,"מנסור עבאס","רע"ם","mnsorabbas","FOUND"
881,"מרב מיכאלי","העבודה","MeravMichaeli","FOUND"
1050,"משה טור פז","יש עתיד","MosheTurpaz","FOUND"
1112,"נאור שירי","יש עתיד","naorshiri","FOUND"
1082,"נעמה לזימי","העבודה","naamalazimi","FOUND"
1085,"סימון דוידסון","יש עתיד","simondav14","FOUND"
1129,"סמיר בן סעיד","חד"ש-תע"ל","","NOT_FOUND"
948,"עאידה תומא סלימאן","חד"ש-תע"ל","AidaTuma","FOUND"
1130,"עדי עזוז","יש עתיד","","NOT_FOUND"
951,"עודד פורר","ישראל ביתנו","oded_forer","FOUND"
1013,"עופר כסיף","חד"ש-תע"ל","ofercass","FOUND"
905,"פנינה תמנו","כחול לבן - המחנה הממלכתי","pnina_tamano_sh","FOUND"
860,"קארין אלהרר","יש עתיד","KElharrar","FOUND"
1061,"רון כץ","יש עתיד","MKRonKatz","FOUND"
1022,"רם בן ברק","יש עתיד","Ram_Ben_Barak","FOUND"
1118,"שלי טל מירון","יש עתיד","Shellytalmeron","FOUND"
1106,"שרון ניר","ישראל ביתנו","SharonNir11","FOUND"